app_name,user_name,rating,review,thumbs_up,date,casefolded_review
Duolingo,Gilang Oke,5,pajarannya seru seru dan menarik untuk di pelajari,0,10/10/2025,pelajarannya seru seru dan menarik untuk di pelajari
Duolingo,Aqeela's Corner,5,"saya suka,saya pintar bahasa Inggris dari aplikasi ini",0,10/10/2025,"saya suka,saya pintar bahasa inggris dari aplikasi ini"
Duolingo,abu farhan,1,Pemerintah Indo gimana nih aplikasi pro LGBT didiemin aja. bukannya direvisi,0,10/10/2025,pemerintah indo gimana nih aplikasi pro lgbt didiemin aja. bukannya direvisi
Duolingo,Imah rokhimah,5,"bagus banget bisa belajar semua kursus aku jadi bisa matematika dan bahasa inggris,pokoknya Duolingo paling baguss deh!!",0,10/10/2025,"bagus banget bisa belajar semua kursus aku jadi bisa matematika dan bahasa inggris,pokoknya duolingo paling baguss deh!!"
Duolingo,Halimah Bangun,5,"ini lumayan sih buat belajar bahasa, terus bisa luangin waktu pas mau belajar bahasa daripada nunggu ke sekolah 🙂👍",0,10/10/2025,"ini lumayan sih buat belajar bahasa, terus bisa luangin waktu pas mau belajar bahasa daripada nunggu ke sekolah 🙂👍"
Duolingo,John Saroi,5,selalu bagus aplikasinya,0,10/10/2025,selalu bagus aplikasinya
Duolingo,Lintang wahyu prihatini,5,"assalamualaikum.Hallo nama saya lintang wa hyu prihatini.putri Anak sulung pertama Bu Nung(Siti sutichah)faseh sudah bisa bahasa Inggris mulai sejak kecil mulai sekolah SD,sampai remaja SMP dan SMA.jadi sampai sekarang mahir.saya kasih bintang 5 karena mencapai juara 1 🏆peringkat 🥇 sekarang menjadi juara 3 peringkat🥉dapat nilai 💯. lalu peringkat 3🥉dan berusaha mulai nol ada kesalahan Terima kasih😌🙏.wasalamualaikum.",0,10/10/2025,"assalamualaikum.hallo nama saya lintang wahyu prihatini.putri anak sulung pertama bu nung(siti sutichah)faseh sudah bisa bahasa inggris mulai sejak kecil mulai sekolah sd,sampai remaja smp dan sma.jadi sampai sekarang mahir.saya kasih bintang 5 karena mencapai juara 1 🏆peringkat 🥇 sekarang menjadi juara 3 peringkat🥉dapat nilai 💯. lalu peringkat 3🥉dan berusaha mulai nol ada kesalahan terima kasih😌🙏.wasalamualaikum."
Duolingo,Desta Ameliya,5,mantappp,0,10/10/2025,mantappp
Duolingo,Mas Al.,5,sehari dah hafal banyak hal,0,10/10/2025,sehari dah hafal banyak hal
Duolingo,Meca,5,apakah ini bayar??,0,10/9/2025,apakah ini bayar??
Duolingo,Sujiati,5,bagus otak ku jadi pintar,0,10/9/2025,bagus otak ku jadi pintar
Duolingo,Lulu Ilmaknunah,5,bagus untuk belajar,0,10/9/2025,bagus untuk belajar
Duolingo,Muhammad Jibril Muttaali,4,iklan yang terlalu lama,0,10/9/2025,iklan yang terlalu lama
Duolingo,Intan Dinda ainur permata sari,5,duolingo ini sangat bagus dan bikin saya bisa bahasa Inggris secepatnya🤩🤩,0,10/9/2025,duolingo ini sangat bagus dan bikin saya bisa bahasa inggris secepatnya🤩🤩
Duolingo,Eveline Pristina,5,bagus bangett,0,10/9/2025,bagus bangett
Duolingo,Din Saepudin,4,mengapa untuk penutur bahasa Indonesia tidak ada kursus catur?,9,10/9/2025,mengapa untuk penutur bahasa indonesia tidak ada kursus catur?
Duolingo,MMN.U Ilham.A,5,sangat berguna untuk belajar bahasa🥰🥰🥰,0,10/9/2025,sangat berguna untuk belajar bahasa🥰🥰🥰
Duolingo,Muhammad arif Arif,5,"Alhamdulillah, saya memakai aplikasi ini sangat membantu untuk belajar bahasa inggris.",0,10/9/2025,"alhamdulillah, saya memakai aplikasi ini sangat membantu untuk belajar bahasa inggris."
Duolingo,shim jake,5,bagus. aku SYUKAK,0,10/9/2025,bagus. aku syukak
Duolingo,Cinta Beyndra,5,sangat membantu love you banget sama aplikasi nya,0,10/9/2025,sangat membantu love you banget sama aplikasinya
Duolingo,Fadly Sukma,5,good apps,0,10/9/2025,good apps
Duolingo,Aspect GOOD LUCK,5,bagus untuk yang mau belajar bahasa disini dan tidak terlalu sulit untuk memahami nya,0,10/9/2025,bagus untuk yang mau belajar bahasa disini dan tidak terlalu sulit untuk memahaminya
Duolingo,Rafa Isha,5,sungguh bisa buat belajar online sampai kita bisa bahasa Jepang,0,10/9/2025,sungguh bisa buat belajar online sampai kita bisa bahasa jepang
Duolingo,fitri wulandari,5,bagus,0,10/9/2025,bagus
Duolingo,Yuvan Anto,5,ini bagus,0,10/9/2025,ini bagus
Duolingo,Brian Nainggolan,5,aplikasi ini sangat membantu untuk pembelajaran ku di sekolah sekarang aku sudah lebih baik di inggris,0,10/9/2025,aplikasi ini sangat membantu untuk pembelajaran ku di sekolah sekarang aku sudah lebih baik di inggris
Duolingo,Ari Mustika,5,sangat bagus untuk belajar bahasa apapun,0,10/9/2025,sangat bagus untuk belajar bahasa apapun
Duolingo,Made Topayanti,5,gamenya sangat baru buat yang mau belajar bahasa Inggris,0,10/9/2025,gamenya sangat baru buat yang mau belajar bahasa inggris
Duolingo,Yumna Naa,5,"ini benar benar bagus,saya belajar bahasa china jadi lancar kan aplikasi ini!",0,10/9/2025,"ini benar benar bagus,saya belajar bahasa china jadi lancar karena aplikasi ini!"
Duolingo,Alviyah Putri,5,berrgunaa bgttt plllssss,0,10/9/2025,berrgunaa bgttt plllssss
Duolingo,Jonathan Alexander,5,"game ini mengajari kami agar menjadi teladan, bijak dan pintar",0,10/9/2025,"game ini mengajari kami agar menjadi teladan, bijak dan pintar"
Duolingo,Oke Satuduaempat,5,keren kau burung bisa melatih skil berbahasa yang baik,0,10/9/2025,keren kau burung bisa melatih skil berbahasa yang baik
Duolingo,Diana septiani,5,sangat bagus,0,10/9/2025,sangat bagus
Duolingo,Hamdan Fuad Hilali,4,ini bagus untuk belajar,0,10/9/2025,ini bagus untuk belajar
Duolingo,Aprilian Hasan,5,"berkat apk ini saya bisa belajar bahasa inggris dengan gampang,,mkss duolingo lovee youu",0,10/9/2025,"berkat apk ini saya bisa belajar bahasa inggris dengan gampang,,mkss duolingo lovee youu"
Duolingo,Aysya Rahma,5,bagus bangett pinter lama lama yang main,0,10/9/2025,bagus bangett pinter lama lama yang main
Duolingo,tokoangga Komputer,5,belajar bahasa sangat menyenangkan di duolingo,0,10/9/2025,belajar bahasa sangat menyenangkan di duolingo
Duolingo,Sofiani,1,"parah masa cerita nya banyak mengandung cerita LGBT gak banget si, auto uninstall 🫩",1,10/9/2025,"parah masa ceritanya banyak mengandung cerita lgbt gak banget si, auto uninstall 🫩"
Duolingo,Mimin Mintarsih,3,"sebenarnya bagus untuk belajar bhs inggris, tapi astagfirullah secara tidak langsung dari sebagian dialog nya contohin suka sesama jenis. Naudzubillah semoga generasi kita di jauh kan dari kaum Nabi luth. dibagian 1 unit 7 tentang bulan madu, ada dialog pasangan sesama jenis nya.",1,10/9/2025,"sebenarnya bagus untuk belajar bhs inggris, tapi astagfirullah secara tidak langsung dari sebagian dialognya contohin suka sesama jenis. naudzubillah semoga generasi kita di jauhkan dari kaum nabi luth. dibagian 1 unit 7 tentang bulan madu, ada dialog pasangan sesama jenisnya."
Duolingo,Zulkifli Mt,5,"salam dari Medan. jujur duolingo baik banget, mau ngasih aplikasi gratis untuk pemula bahasa inggris. semoga Allah berikan makin sukses ya semua nyaaa. amiin recommended banget",0,10/9/2025,"salam dari medan. jujur duolingo baik banget, mau ngasih aplikasi gratis untuk pemula bahasa inggris. semoga allah berikan makin sukses ya semuanya. amiin recommended banget"
Duolingo,Al Gz,5,karena apk ini aku sekarang bisa bahasa Inggris and Mandarin karena keperluan pekerjaan thankyou Duolingo i like you,0,10/9/2025,karena apk ini aku sekarang bisa bahasa inggris and mandarin karena keperluan pekerjaan thankyou duolingo i like you
Duolingo,rasyidmc001,5,seru sih...,0,10/9/2025,seru sih...
Duolingo,Mrian Kusuma,5,sangat baik untuk belajar BHS inggris,0,10/9/2025,sangat baik untuk belajar bhs inggris
Duolingo,Cut Aisyah,5,sangat bagus aku jadi semangat belajar bahasa inggirs,0,10/9/2025,sangat bagus aku jadi semangat belajar bahasa inggirs
Duolingo,Aisyatur Arridho,5,"Aplikasi yang cocok banget untuk belajar, level belajarnya disesuaikan dengan kemampuan tiap orang, seperti lagi main aja tapi nambah ilmu",0,10/9/2025,"aplikasi yang cocok banget untuk belajar, level belajarnya disesuaikan dengan kemampuan tiap orang, seperti lagi main aja tapi nambah ilmu"
Duolingo,Putri Feby Rukmana,5,ini sangat membantu saya untuk belajar dan menambah pengetahuan tentang beberapa bahasa yg saya senangi💞💞,0,10/9/2025,ini sangat membantu saya untuk belajar dan menambah pengetahuan tentang beberapa bahasa yg saya senangi💞💞
Duolingo,Rewandy Siregar,5,sangat mendidik dan mendukung anak dalam belajar bahasa Inggris,0,10/9/2025,sangat mendidik dan mendukung anak dalam belajar bahasa inggris
Duolingo,Vikaa Putryy,5,cocok banget buat belajar bahasa,0,10/9/2025,cocok banget buat belajar bahasa
Duolingo,Fadhil Rizky aljihani,5,kita udah di ajarkan bahasa inggris,0,10/9/2025,kita udah di ajarkan bahasa inggris
Duolingo,Rinadi2025,5,aplikasinya mantap..!,0,10/9/2025,aplikasinya mantap..!
Duolingo,Putri 2,5,goodddd bangettt,0,10/9/2025,goodddd bangettt
Duolingo,zafie naf,5,suka banget. tapi pengen ada bahasa arab juga. mungkin next bisa di kasih bahasa arab ya min. terima kasih,0,10/9/2025,suka banget. tapi pengen ada bahasa arab juga. mungkin next bisa di kasih bahasa arab ya min. terima kasih
Duolingo,Michelle Setiawan,5,aplikasi ini benar benar bikin saya kagum karna aplikasi ini mengajar bahasa apapun seperti bahasa jepang,0,10/9/2025,aplikasi ini benar benar bikin saya kagum karna aplikasi ini mengajar bahasa apapun seperti bahasa jepang
Duolingo,Ijlal Aksal,5,bagus banget untuk yang mau blajar,0,10/9/2025,bagus banget untuk yang mau belajar
Duolingo,Rizki Tanjung,5,sangat membantu untuk segala hal bahasa aku suka 👍,0,10/9/2025,sangat membantu untuk segala hal bahasa aku suka 👍
Duolingo,Laura,5,"sangat bagus dan dapat bermanfaat dan bisa belajar bahasa yang lain juga dan dapat belajar mtk dan musik , POKOKNYA SERU POLLLL",0,10/9/2025,"sangat bagus dan dapat bermanfaat dan bisa belajar bahasa yang lain juga dan dapat belajar mtk dan musik , pokoknya seru pollll"
Duolingo,Jund Sether,5,very good apps,0,10/9/2025,very good apps
Duolingo,Johan Andika,5,sangat bermanfaat,0,10/9/2025,sangat bermanfaat
Duolingo,Stefyn Breyantdy saputra,5,seru,0,10/9/2025,seru
Duolingo,Radi Tyo,5,Aplikasi ini cocok sekali untuk kalian yang ingin mempelajari bahasa baru!🔥,0,10/9/2025,aplikasi ini cocok sekali untuk kalian yang ingin mempelajari bahasa baru!🔥
Duolingo,I PUTU RIVAL AGUS KURNIAWAN Agus,4,sangat membantu dalam belajar berbagai bahasa mulai dari 0,0,10/9/2025,sangat membantu dalam belajar berbagai bahasa mulai dari 0
Duolingo,Dipp erni,5,Bagus bisa mudah untuk menghafal,0,10/9/2025,bagus bisa mudah untuk menghafal
Duolingo,Nayla Sf,5,bagus sgt membantu,0,10/9/2025,bagus sgt membantu
Duolingo,Oca Rafardan,5,bagus aku jadi bisa bicara bahasa Jepang Korea dan Inggris,0,10/9/2025,bagus aku jadi bisa bicara bahasa jepang korea dan inggris
Duolingo,Kaisen,5,terimakasih atas langganan gratisnya selama sebulan itu sangat membantu,0,10/9/2025,terimakasih atas langganan gratisnya selama sebulan itu sangat membantu
Duolingo,Naind Ghakty,5,sangat baik untuk meningkatkan saya untuk belajar dan duolingo ini seperti manusia juga suka marah bila saya terlambat pokok nya yang harus belajar sama duolingo ini sampai saya lancar berbahasa Inggris dengan baik,0,10/9/2025,sangat baik untuk meningkatkan saya untuk belajar dan duolingo ini seperti manusia juga suka marah bila saya terlambat pokoknya yang harus belajar sama duolingo ini sampai saya lancar berbahasa inggris dengan baik
Duolingo,Cukup Saputra,5,"bantu gw banget buat belajar bahasa lain, gg pokonamah",0,10/9/2025,"bantu gw banget buat belajar bahasa lain, gg pokonamah"
Duolingo,Siti Choiriyah,1,bug nya ribet saya sudah selesai belajar malah loading(gak bakal selesai) loading nya lama banget dan kalo keluar itu level gak naik jadi buang energi doang level nya gak naik belajar naikin energi juga gak bisa tolong di fix,0,10/9/2025,bugnya ribet saya sudah selesai belajar malah loading(gak bakal selesai) loadingnya lama banget dan kalo keluar itu level gak naik jadi buang energi doang levelnya gak naik belajar naikin energi juga gak bisa tolong di fix
Duolingo,Suyatno 77,5,bagus 👍 ada nya duolingo aku makin mengerti bhs Inggris,0,10/9/2025,bagus 👍 adanya duolingo aku makin mengerti bhs inggris
Duolingo,prayan sari,4,nyebelin banget pake ngelag segalaa😤 udah bagus tapi kekurangan xp nya ga nambah nambah!,0,10/9/2025,nyebelin banget pake ngelag segalaa😤 udah bagus tapi kekurangan xp nya ga nambah nambah!
Duolingo,Nafisa Yusra,4,bagus tapi ada unsur LGBT nya,0,10/9/2025,bagus tapi ada unsur lgbtnya
Duolingo,Damar Margi,5,"pelajaranya ga bikin bosen, pokoknya seru deh makanya aku kasih rating 5",0,10/9/2025,"pelajaranya ga bikin bosen, pokoknya seru deh makanya aku kasih rating 5"
Duolingo,Xyzkeeyz,5,suka banget,0,10/9/2025,suka banget
Duolingo,Saifudin Zakariya,5,bagusss bangett untuk pemulaa,0,10/9/2025,bagusss bangett untuk pemulaa
Duolingo,Renana,5,aplikasinya sesuai sama kebutuhan pokoknya the best dehh 😍😍,0,10/9/2025,aplikasinya sesuai sama kebutuhan pokoknya the best dehh 😍😍
Duolingo,Bunga Rahma,5,"saya sangat senang rasanya tidak menyesal karena aplikasi ini sangat lah bermanfaat,dari yang awalnya tidak tahu arti nya cara baca nya sekarang sudah bisa semuanya , terimakasih duolingo saya jadi semangat belajar bahasa asing intinya terimakasih sebanyak banyak nya",0,10/9/2025,"saya sangat senang rasanya tidak menyesal karena aplikasi ini sangat lah bermanfaat,dari yang awalnya tidak tahu artinya cara bacanya sekarang sudah bisa semuanya , terimakasih duolingo saya jadi semangat belajar bahasa asing intinya terimakasih sebanyak banyaknya"
Duolingo,MUH ALFIAN NUHARI,5,bagus,0,10/9/2025,bagus
